Genotype,MLH1 foci
col zyp1 female,9
col zyp1 female,10
col zyp1 female,11
col zyp1 female,12
col zyp1 female,13
col zyp1 female,14
col zyp1 female,15
col zyp1 female,15
col zyp1 female,15
col zyp1 female,16
col zyp1 female,17
col zyp1 female,17
col zyp1 female,17
col zyp1 female,18
col zyp1 female,19
col zyp1 female,19
col zyp1 female,21
col zyp1 female,22
col zyp1 female,23
col zyp1 female,25
col zyp1 female,27
