Genotype,MLH1 foci
col zyp1 male,13
col zyp1 male,14
col zyp1 male,14
col zyp1 male,15
col zyp1 male,15
col zyp1 male,16
col zyp1 male,16
col zyp1 male,16
col zyp1 male,17
col zyp1 male,17
col zyp1 male,17
col zyp1 male,17
col zyp1 male,18
col zyp1 male,18
col zyp1 male,19
col zyp1 male,19
col zyp1 male,20
col zyp1 male,20
col zyp1 male,20
col zyp1 male,21
col zyp1 male,21
col zyp1 male,22
col zyp1 male,23
